"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","win","total_pts.points"
"1","atl",33954,26,12,46.2,1,114
"2","atl",33966,20,5,25,1,104
"3","atl",33984,30,11,36.7,1,106
"4","atl",33999,32,11,34.4,0,116
"5","atl",34010,25,5,20,0,92
"6","atl",34024,20,8,40,1,112
"7","atl",34040,29,11,37.9,1,110
"8","atl",34051,20,9,45,1,115
"9","atl",34072,32,13,40.6,1,117
"10","atl",34094,17,6,35.3,1,93
"11","atl",34103,32,10,31.2,1,107
"12","atl",34114,28,7,25,0,96
"13","atl",34133,21,6,28.6,0,94
"14","atl",34149,29,10,34.5,0,94
"15","atl",34156,20,5,25,1,96
"16","atl",34171,25,8,32,0,68
"17","atl",34192,35,12,34.3,0,94
"18","atl",34199,29,7,24.1,0,100
"19","atl",34214,25,9,36,0,107
"20","atl",34228,24,6,25,0,85
"21","atl",34233,28,7,25,0,84
"22","atl",34247,22,7,31.8,0,99
"23","atl",34264,19,4,21,1,103
"24","atl",34280,34,12,35.3,1,114
"25","atl",34309,28,11,39.3,0,120
"26","atl",34332,25,11,44,1,125
"27","atl",34341,26,10,38.5,0,99
"28","atl",34355,23,9,39.1,1,110
"29","atl",34370,26,7,26.9,0,84
"30","atl",34391,25,8,32,1,109
"31","atl",34408,32,8,25,0,90
"32","atl",34418,27,7,25.9,1,102
"33","atl",34438,26,8,30.8,1,105
"34","atl",34448,28,14,50,1,114
"35","atl",34470,19,10,52.6,1,111
"36","atl",34479,23,9,39.1,1,99
"37","atl",34497,22,11,50,1,97
"38","atl",34513,23,7,30.4,1,117
"39","atl",34537,29,11,37.9,0,101
"40","atl",34547,26,13,50,1,111
"41","atl",34553,32,12,37.5,1,108
"42","atl",34573,25,6,24,0,95
"43","atl",34587,22,9,40.9,1,102
"44","atl",34593,20,7,35,1,110
"45","atl",34607,29,9,31,0,105
"46","atl",34623,30,17,56.7,1,119
"47","atl",34642,31,9,29,0,86
"48","atl",34651,31,10,32.3,1,142
"49","atl",34674,26,7,26.9,0,93
"50","atl",34683,30,8,26.7,1,113
"51","atl",34696,28,10,35.7,1,113
"52","atl",34712,17,6,35.3,0,95
"53","atl",34725,27,8,29.6,1,117
"54","atl",34747,30,11,36.7,0,107
"55","atl",34770,28,8,28.6,1,109
"56","atl",34786,26,7,26.9,0,84
"57","atl",34803,20,6,30,0,90
"58","atl",34807,25,8,32,0,86
"59","atl",34825,25,6,24,1,114
"60","atl",34837,21,10,47.6,1,100
"61","atl",34853,26,10,38.5,0,130
"62","atl",34867,27,9,33.3,0,96
"63","atl",34877,28,13,46.4,0,111
"64","atl",34890,20,4,20,1,110
"65","atl",34909,22,8,36.4,1,105
"66","atl",34921,30,15,50,1,107
"67","atl",34934,22,6,27.3,0,99
"68","atl",34957,27,8,29.6,0,91
"69","atl",34969,26,7,26.9,0,97
"70","atl",34984,37,12,32.4,0,90
"71","atl",35003,25,8,32,0,100
"72","atl",35018,22,8,36.4,0,97
"73","atl",35028,27,5,18.5,0,92
"74","atl",35046,27,6,22.2,1,95
"75","atl",35051,18,9,50,1,99
"76","atl",35078,28,11,39.3,0,104
"77","atl",35089,24,7,29.2,0,82
"78","atl",35117,23,11,47.8,1,123
"79","atl",35119,37,16,43.2,1,114
"80","atl",35137,31,9,29,1,126
"81","atl",35152,27,7,25.9,1,103
"82","atl",35166,29,11,37.9,0,86
"83","bos",33946,32,11,34.4,1,122
"84","bos",33955,23,8,34.8,0,99
"85","bos",33967,31,15,48.4,1,104
"86","bos",34001,32,14,43.8,1,107
"87","bos",34008,32,11,34.4,0,122
"88","bos",34031,25,8,32,0,107
"89","bos",34047,31,10,32.3,0,93
"90","bos",34065,27,11,40.7,1,115
"91","bos",34070,25,8,32,1,105
"92","bos",34088,41,12,29.3,0,105
"93","bos",34101,21,7,33.3,1,90
"94","bos",34119,32,11,34.4,0,88
"95","bos",34128,31,12,38.7,1,94
"96","bos",34145,38,12,31.6,1,99
"97","bos",34157,38,15,39.5,1,111
"98","bos",34165,34,12,35.3,0,103
"99","bos",34196,27,11,40.7,1,112
"100","bos",34207,42,15,35.7,0,114
"101","bos",34223,28,11,39.3,1,97
"102","bos",34234,26,8,30.8,1,107
"103","bos",34251,32,11,34.4,0,106
"104","bos",34262,26,7,26.9,1,117
"105","bos",34279,42,17,40.5,0,94
"106","bos",34297,32,11,34.4,0,96
"107","bos",34323,31,10,32.3,0,101
"108","bos",34331,28,9,32.1,1,96
"109","bos",34350,28,9,32.1,1,105
"110","bos",34364,37,12,32.4,1,112
"111","bos",34380,39,10,25.6,1,109
"112","bos",34385,28,9,32.1,0,112
"113","bos",34396,36,14,38.9,1,119
"114","bos",34412,31,12,38.7,1,113
"115","bos",34428,37,12,32.4,0,118
"116","bos",34434,32,17,53.1,1,117
"117","bos",34462,31,17,54.8,1,115
"118","bos",34486,40,19,47.5,1,110
"119","bos",34493,36,18,50,1,117
"120","bos",34512,27,9,33.3,0,106
"121","bos",34523,41,17,41.5,1,117
"122","bos",34537,44,17,38.6,1,103
"123","bos",34558,39,15,38.5,1,108
"124","bos",34570,33,9,27.3,0,106
"125","bos",34590,35,13,37.1,0,123
"126","bos",34616,33,10,30.3,0,108
"127","bos",34621,32,11,34.4,1,120
"128","bos",34637,34,16,47.1,1,128
"129","bos",34646,40,14,35,1,112
"130","bos",34661,32,13,40.6,1,113
"131","bos",34672,36,12,33.3,1,109
"132","bos",34691,35,13,37.1,1,113
"133","bos",34706,52,16,30.8,1,107
"134","bos",34733,32,10,31.2,0,92
"135","bos",34738,30,10,33.3,1,120
"136","bos",34755,30,13,43.3,1,112
"137","bos",34766,34,16,47.1,1,111
"138","bos",34776,28,13,46.4,1,116
"139","bos",34789,37,14,37.8,0,103
"140","bos",34798,38,12,31.6,0,97
"141","bos",34819,35,12,34.3,1,104
"142","bos",34825,34,10,29.4,0,98
"143","bos",34839,31,13,41.9,1,103
"144","bos",34858,33,10,30.3,1,115
"145","bos",34869,37,13,35.1,0,106
"146","bos",34885,35,10,28.6,0,102
"147","bos",34899,29,10,34.5,1,99
"148","bos",34910,33,12,36.4,0,99
"149","bos",34925,37,16,43.2,1,100
"150","bos",34946,33,13,39.4,1,117
"151","bos",34962,29,7,24.1,1,98
"152","bos",34977,29,6,20.7,0,99
"153","bos",34987,33,10,30.3,1,110
"154","bos",35000,27,11,40.7,1,109
"155","bos",35016,41,14,34.2,1,130
"156","bos",35033,24,8,33.3,1,112
"157","bos",35053,37,12,32.4,0,100
"158","bos",35069,33,12,36.4,1,117
"159","bos",35082,37,12,32.4,1,110
"160","bos",35109,33,7,21.2,0,91
"161","bos",35117,43,15,34.9,0,116
"162","bos",35129,39,17,43.6,1,121
"163","bos",35144,38,14,36.8,1,114
"164","bos",35159,37,12,32.4,1,112
"165","bro",33946,44,15,34.1,0,117
"166","bro",33959,33,10,30.3,1,103
"167","bro",33971,34,11,32.4,0,108
"168","bro",33983,31,5,16.1,0,88
"169","bro",33997,27,13,48.2,1,109
"170","bro",34012,36,9,25,0,95
"171","bro",34041,33,12,36.4,1,119
"172","bro",34046,33,11,33.3,0,96
"173","bro",34079,37,16,43.2,1,122
"174","bro",34092,33,10,30.3,0,95
"175","bro",34097,41,12,29.3,0,118
"176","bro",34118,29,11,37.9,0,105
"177","bro",34134,35,10,28.6,0,109
"178","bro",34157,31,10,32.3,0,92
"179","bro",34174,34,11,32.4,0,97
"180","bro",34187,39,16,41,0,105
"181","bro",34201,38,13,34.2,1,127
"182","bro",34217,40,12,30,0,93
"183","bro",34231,41,11,26.8,0,103
"184","bro",34246,27,11,40.7,0,113
"185","bro",34263,26,9,34.6,1,116
"186","bro",34293,27,7,25.9,0,101
"187","bro",34304,20,7,35,0,118
"188","bro",34318,35,11,31.4,1,107
"189","bro",34330,27,11,40.7,0,111
"190","bro",34348,34,12,35.3,0,107
"191","bro",34360,35,10,28.6,0,104
"192","bro",34377,35,13,37.1,0,101
"193","bro",34384,30,8,26.7,0,99
"194","bro",34403,31,15,48.4,1,120
"195","bro",34420,32,13,40.6,0,99
"196","bro",34433,25,10,40,0,95
"197","bro",34455,27,6,22.2,0,89
"198","bro",34476,38,17,44.7,0,109
"199","bro",34487,30,9,30,0,108
"200","bro",34500,27,10,37,0,95
"201","bro",34513,29,10,34.5,0,97
"202","bro",34527,42,9,21.4,0,95
"203","bro",34533,36,17,47.2,0,113
"204","bro",34549,44,15,34.1,0,112
"205","bro",34562,26,7,26.9,0,109
"206","bro",34585,30,15,50,1,143
"207","bro",34592,41,17,41.5,0,105
"208","bro",34606,25,5,20,0,86
"209","bro",34622,35,13,37.1,0,106
"210","bro",34636,33,16,48.5,0,116
"211","bro",34650,21,7,33.3,0,109
"212","bro",34659,26,4,15.4,0,96
"213","bro",34673,25,5,20,0,90
"214","bro",34687,28,11,39.3,0,97
"215","bro",34705,34,13,38.2,0,95
"216","bro",34719,36,12,33.3,0,107
"217","bro",34724,33,9,27.3,0,110
"218","bro",34739,20,8,40,0,99
"219","bro",34762,37,12,32.4,0,103
"220","bro",34778,36,14,38.9,0,125
"221","bro",34804,30,10,33.3,0,109
"222","bro",34813,28,8,28.6,0,95
"223","bro",34845,28,11,39.3,1,109
"224","bro",34855,29,7,24.1,0,97
"225","bro",34866,30,14,46.7,0,116
"226","bro",34879,30,14,46.7,1,122
"227","bro",34890,34,11,32.4,0,105
"228","bro",34911,31,9,29,0,96
"229","bro",34926,38,19,50,1,120
"230","bro",34940,24,12,50,0,104
"231","bro",34956,31,10,32.3,1,121
"232","bro",34962,35,11,31.4,0,95
"233","bro",34976,31,13,41.9,0,104
"234","bro",34992,29,10,34.5,1,98
"235","bro",35007,29,8,27.6,1,126
"236","bro",35012,15,3,20,0,108
"237","bro",35028,22,6,27.3,1,107
"238","bro",35045,32,9,28.1,0,101
"239","bro",35061,31,10,32.3,0,89
"240","bro",35079,31,8,25.8,1,121
"241","bro",35089,33,10,30.3,1,91
"242","bro",35094,31,16,51.6,1,141
"243","bro",35114,30,11,36.7,0,107
"244","bro",35128,31,10,32.3,1,107
"245","bro",35144,31,8,25.8,0,105
"246","bro",35162,33,3,9.1,0,73
"247","cha",33948,23,7,30.4,1,107
"248","cha",33962,22,7,31.8,1,97
"249","cha",33967,32,9,28.1,0,98
"250","cha",33996,34,13,38.2,1,109
"251","cha",34012,30,10,33.3,1,99
"252","cha",34035,32,12,37.5,1,122
"253","cha",34048,26,8,30.8,1,104
"254","cha",34063,41,17,41.5,0,111
"255","cha",34080,29,11,37.9,0,93
"256","cha",34095,24,11,45.8,1,115
"257","cha",34114,29,10,34.5,1,100
"258","cha",34125,43,15,34.9,0,116
"259","cha",34141,31,9,29,0,90
"260","cha",34153,20,11,55,0,114
"261","cha",34168,29,8,27.6,0,111
"262","cha",34181,22,8,36.4,1,107
"263","cha",34197,26,9,34.6,1,104
"264","cha",34200,27,9,33.3,0,89
"265","cha",34216,18,5,27.8,1,97
"266","cha",34232,36,14,38.9,0,120
"267","cha",34252,18,3,16.7,1,109
"268","cha",34261,21,6,28.6,1,87
"269","cha",34277,22,9,40.9,1,109
"270","cha",34289,27,10,37,0,105
"271","cha",34301,26,10,38.5,0,94
"272","cha",34315,33,14,42.4,0,106
"273","cha",34331,30,8,26.7,0,88
"274","cha",34341,27,12,44.4,1,107
"275","cha",34359,25,11,44,1,117
"276","cha",34382,18,5,27.8,1,103
"277","cha",34403,26,8,30.8,0,118
"278","cha",34417,24,10,41.7,1,120
"279","cha",34426,26,5,19.2,1,91
"280","cha",34444,24,9,37.5,0,109
"281","cha",34457,19,9,47.4,0,111
"282","cha",34469,24,9,37.5,1,123
"283","cha",34478,26,10,38.5,0,114
"284","cha",34498,21,4,19,0,85
"285","cha",34514,43,19,44.2,0,114
"286","cha",34532,23,6,26.1,0,93
"287","cha",34558,25,8,32,0,98
"288","cha",34569,26,11,42.3,1,107
"289","cha",34582,25,12,48,1,113
"290","cha",34592,29,14,48.3,1,112
"291","cha",34605,32,8,25,0,99
"292","cha",34627,23,7,30.4,0,103
"293","cha",34639,37,13,35.1,0,107
"294","cha",34644,37,12,32.4,0,106
"295","cha",34668,31,11,35.5,0,98
"296","cha",34681,30,9,30,0,111
"297","cha",34700,33,13,39.4,0,98
"298","cha",34719,26,7,26.9,1,111
"299","cha",34734,26,8,30.8,0,95
"300","cha",34748,37,13,35.1,0,102
"301","cha",34761,31,11,35.5,0,99
"302","cha",34777,38,13,34.2,0,85
"303","cha",34791,30,7,23.3,0,108
"304","cha",34806,38,14,36.8,1,99
"305","cha",34821,40,18,45,0,121
"306","cha",34834,39,16,41,1,109
"307","cha",34847,34,10,29.4,0,103
"308","cha",34863,27,16,59.3,1,112
"309","cha",34881,31,11,35.5,1,100
"310","cha",34891,21,7,33.3,0,101
"311","cha",34905,21,10,47.6,1,121
"312","cha",34916,46,13,28.3,0,122
"313","cha",34931,29,7,24.1,0,109
"314","cha",34945,23,3,13,0,77
"315","cha",34970,24,9,37.5,1,98
"316","cha",34984,30,12,40,1,105
"317","cha",34999,27,9,33.3,1,109
"318","cha",35013,38,10,26.3,0,105
"319","cha",35027,30,14,46.7,1,120
"320","cha",35043,28,7,25,0,108
"321","cha",35054,32,16,50,1,110
"322","cha",35067,36,17,47.2,1,122
"323","cha",35083,30,11,36.7,1,113
"324","cha",35095,34,12,35.3,0,111
"325","cha",35105,25,8,32,0,99
"326","cha",35129,28,9,32.1,0,114
"327","cha",35147,18,5,27.8,0,79
"328","cha",35152,23,3,13,0,76
"329","chi",33955,25,11,44,1,105
"330","chi",33970,21,9,42.9,1,118
"331","chi",33983,27,11,40.7,1,118
"332","chi",34001,20,7,35,0,100
"333","chi",34013,23,8,34.8,0,104
"334","chi",34023,18,6,33.3,0,94
"335","chi",34036,19,3,15.8,1,112
"336","chi",34051,27,9,33.3,0,107
"337","chi",34058,16,6,37.5,1,98
"338","chi",34073,15,5,33.3,1,106
"339","chi",34096,20,7,35,1,113
"340","chi",34113,17,5,29.4,1,85
"341","chi",34132,30,9,30,0,95
"342","chi",34138,22,8,36.4,1,118
"343","chi",34150,18,6,33.3,0,107
"344","chi",34169,21,6,28.6,1,105
"345","chi",34209,21,4,19,0,90
"346","chi",34226,18,3,16.7,1,111
"347","chi",34236,13,3,23.1,0,82
"348","chi",34248,23,7,30.4,0,110
"349","chi",34257,15,2,13.3,0,91
"350","chi",34276,17,4,23.5,1,95
"351","chi",34290,8,1,12.5,1,105
"352","chi",34310,15,4,26.7,0,94
"353","chi",34324,20,5,25,0,97
"354","chi",34333,21,5,23.8,0,69
"355","chi",34354,16,8,50,1,113
"356","chi",34372,21,6,28.6,0,97
"357","chi",34382,22,7,31.8,0,91
"358","chi",34398,18,7,38.9,0,100
"359","chi",34405,25,6,24,1,90
"360","chi",34420,13,3,23.1,1,101
"361","chi",34432,23,6,26.1,0,101
"362","chi",34443,27,10,37,0,96
"363","chi",34457,23,7,30.4,1,118
"364","chi",34472,30,13,43.3,1,106
"365","chi",34494,28,11,39.3,1,123
"366","chi",34509,19,7,36.8,0,94
"367","chi",34511,27,10,37,0,99
"368","chi",34528,18,3,16.7,0,89
"369","chi",34542,20,8,40,1,107
"370","chi",34551,17,4,23.5,1,108
"371","chi",34564,14,6,42.9,0,98
"372","chi",34587,28,7,25,0,93
"373","chi",34600,17,6,35.3,1,102
"374","chi",34617,22,7,31.8,1,100
"375","chi",34623,27,8,29.6,0,114
"376","chi",34640,13,3,23.1,0,88
"377","chi",34656,14,8,57.1,1,121
"378","chi",34680,15,6,40,1,128
"379","chi",34689,25,8,32,0,117
"380","chi",34718,19,6,31.6,1,112
"381","chi",34732,24,4,16.7,0,92
"382","chi",34746,19,5,26.3,0,97
"383","chi",34756,25,10,40,0,89
"384","chi",34771,17,7,41.2,1,105
"385","chi",34789,25,6,24,1,104
"386","chi",34799,26,12,46.2,1,128
"387","chi",34811,30,15,50,1,117
"388","chi",34831,26,10,38.5,0,107
"389","chi",34846,19,5,26.3,1,94
"390","chi",34862,17,6,35.3,0,91
"391","chi",34878,28,8,28.6,0,95
"392","chi",34889,28,12,42.9,0,91
"393","chi",34906,39,9,23.1,0,94
"394","chi",34925,25,7,28,0,80
"395","chi",34931,40,14,35,1,115
"396","chi",34949,28,11,39.3,0,91
"397","chi",34961,27,7,25.9,0,107
"398","chi",34972,19,7,36.8,1,95
"399","chi",34991,37,14,37.8,0,120
"400","chi",35001,23,11,47.8,1,117
"401","chi",35017,24,10,41.7,0,107
"402","chi",35030,21,10,47.6,1,109
"403","chi",35062,25,12,48,1,99
"404","chi",35078,30,12,40,1,106
"405","chi",35087,26,13,50,1,117
"406","chi",35100,27,6,22.2,0,91
"407","chi",35113,25,8,32,1,102
"408","chi",35128,24,11,45.8,0,106
"409","chi",35146,26,12,46.2,1,122
"410","chi",35162,30,14,46.7,1,112
"411","cle",33941,35,13,37.1,1,117
"412","cle",33958,32,12,37.5,1,94
"413","cle",33969,37,11,29.7,1,105
"414","cle",33987,32,16,50,1,128
"415","cle",34008,34,14,41.2,1,128
"416","cle",34020,38,14,36.8,1,102
"417","cle",34040,42,11,26.2,0,106
"418","cle",34062,33,14,42.4,1,105
"419","cle",34080,38,14,36.8,1,100
"420","cle",34093,33,13,39.4,1,121
"421","cle",34100,30,11,36.7,0,93
"422","cle",34116,25,11,44,1,104
"423","cle",34155,36,21,58.3,1,137
"424","cle",34167,43,20,46.5,1,128
"425","cle",34185,40,12,30,1,112
"426","cle",34202,39,14,35.9,0,101
"427","cle",34219,24,9,37.5,0,94
"428","cle",34226,26,10,38.5,0,105
"429","cle",34245,32,14,43.8,1,116
"430","cle",34267,40,22,55,1,126
"431","cle",34278,24,9,37.5,1,114
"432","cle",34289,31,13,41.9,1,116
"433","cle",34308,31,12,38.7,1,103
"434","cle",34319,25,9,36,0,85
"435","cle",34342,33,15,45.4,1,119
"436","cle",34363,40,17,42.5,1,114
"437","cle",34369,27,15,55.6,1,113
"438","cle",34384,35,8,22.9,1,119
"439","cle",34397,35,12,34.3,1,109
"440","cle",34404,28,11,39.3,0,90
"441","cle",34428,38,14,36.8,1,124
"442","cle",34444,31,14,45.2,1,121
"443","cle",34454,31,6,19.4,1,90
"444","cle",34472,25,8,32,0,94
"445","cle",34487,33,9,27.3,1,116
"446","cle",34505,34,15,44.1,1,120
"447","cle",34516,31,9,29,0,92
"448","cle",34525,30,9,30,0,86
"449","cle",34539,37,15,40.5,1,120
"450","cle",34559,34,9,26.5,0,91
"451","cle",34576,43,19,44.2,1,118
"452","cle",34597,34,13,38.2,0,115
"453","cle",34611,37,15,40.5,0,122
"454","cle",34620,38,15,39.5,0,112
"455","cle",34636,36,13,36.1,1,124
"456","cle",34652,29,8,27.6,1,107
"457","cle",34662,32,12,37.5,0,97
"458","cle",34671,37,15,40.5,1,125
"459","cle",34699,40,16,40,1,111
"460","cle",34709,38,19,50,1,140
"461","cle",34723,36,16,44.4,1,132
"462","cle",34736,21,10,47.6,0,109
"463","cle",34751,30,15,50,1,125
"464","cle",34772,39,13,33.3,1,116
"465","cle",34775,39,18,46.2,1,113
"466","cle",34793,38,15,39.5,1,119
"467","cle",34811,37,14,37.8,0,99
"468","cle",34824,27,10,37,1,102
"469","cle",34839,33,10,30.3,0,99
"470","cle",34853,46,25,54.4,1,135
"471","cle",34861,27,11,40.7,0,92
"472","cle",34876,27,9,33.3,0,98
"473","cle",34900,39,11,28.2,0,101
"474","cle",34917,39,15,38.5,1,116
"475","cle",34929,43,17,39.5,0,112
"476","cle",34939,30,19,63.3,1,128
"477","cle",34954,33,9,27.3,1,91
"478","cle",34971,27,5,18.5,0,78
"479","cle",34983,36,13,36.1,1,125
"480","cle",35004,37,15,40.5,0,113
"481","cle",35013,25,9,36,1,112
"482","cle",35023,33,12,36.4,0,115
"483","cle",35039,26,4,15.4,0,74
"484","cle",35062,27,10,37,0,93
"485","cle",35068,29,13,44.8,1,122
"486","cle",35091,43,18,41.9,1,135
"487","cle",35096,36,18,50,1,122
"488","cle",35109,36,11,30.6,1,114
"489","cle",35119,36,9,25,0,100
"490","cle",35137,46,19,41.3,0,125
"491","cle",35145,35,14,40,0,121
"492","cle",35158,37,10,27,0,83
"493","dal",33945,48,18,37.5,0,121
"494","dal",33963,29,8,27.6,0,98
"495","dal",33981,30,11,36.7,0,92
"496","dal",34002,26,7,26.9,0,81
"497","dal",34016,28,10,35.7,0,95
"498","dal",34030,38,9,23.7,1,86
"499","dal",34044,23,10,43.5,1,109
"500","dal",34056,28,6,21.4,0,95
"501","dal",34086,27,5,18.5,0,77
"502","dal",34101,23,8,34.8,0,83
"503","dal",34120,25,5,20,0,64
"504","dal",34127,28,13,46.4,0,87
"505","dal",34146,27,8,29.6,0,91
"506","dal",34160,24,11,45.8,0,104
"507","dal",34167,35,8,22.9,0,90
"508","dal",34190,27,10,37,1,91
"509","dal",34212,30,10,33.3,0,87
"510","dal",34216,31,9,29,0,87
"511","dal",34236,31,13,41.9,1,107
"512","dal",34252,36,13,36.1,0,101
"513","dal",34268,30,10,33.3,0,89
"514","dal",34283,32,15,46.9,1,111
"515","dal",34292,34,11,32.4,0,87
"516","dal",34305,26,12,46.2,1,112
"517","dal",34321,25,8,32,0,85
"518","dal",34338,28,12,42.9,0,100
"519","dal",34351,33,13,39.4,1,99
"520","dal",34357,25,14,56,0,107
"521","dal",34376,31,7,22.6,1,96
"522","dal",34395,29,7,24.1,1,90
"523","dal",34406,32,13,40.6,0,104
"524","dal",34414,38,15,39.5,0,107
"525","dal",34431,31,14,45.2,1,101
"526","dal",34441,32,8,25,0,99
"527","dal",34464,32,17,53.1,1,113
"528","dal",34481,29,9,31,0,95
"529","dal",34497,36,9,25,0,82
"530","dal",34510,28,13,46.4,0,92
"531","dal",34530,34,15,44.1,1,113
"532","dal",34548,29,12,41.4,1,98
"533","dal",34564,28,11,39.3,1,99
"534","dal",34577,36,14,38.9,0,95
"535","dal",34588,23,8,34.8,0,107
"536","dal",34602,39,17,43.6,1,122
"537","dal",34628,26,6,23.1,1,103
"538","dal",34630,26,11,42.3,0,98
"539","dal",34657,34,12,35.3,1,105
"540","dal",34662,32,9,28.1,1,104
"541","dal",34676,26,10,38.5,1,113
"542","dal",34694,31,17,54.8,1,108
"543","dal",34716,26,8,30.8,0,87
"544","dal",34721,28,12,42.9,0,113
"545","dal",34737,20,5,25,1,112
"546","dal",34754,35,17,48.6,1,112
"547","dal",34766,27,9,33.3,0,98
"548","dal",34779,36,10,27.8,0,91
"549","dal",34802,33,8,24.2,0,84
"550","dal",34810,26,12,46.2,1,96
"551","dal",34827,18,9,50,1,96
"552","dal",34837,33,14,42.4,0,95
"553","dal",34854,27,5,18.5,1,104
"554","dal",34872,25,7,28,1,104
"555","dal",34887,31,17,54.8,1,122
"556","dal",34911,33,14,42.4,1,105
"557","dal",34922,26,9,34.6,0,98
"558","dal",34932,25,7,28,0,78
"559","dal",34944,32,14,43.8,1,112
"560","dal",34960,23,5,21.7,0,74
"561","dal",34976,25,10,40,1,111
"562","dal",34995,34,11,32.4,0,87
"563","dal",35009,26,9,34.6,1,97
"564","dal",35024,28,7,25,0,86
"565","dal",35040,29,10,34.5,0,91
"566","dal",35057,27,14,51.8,0,118
"567","dal",35071,34,12,35.3,0,90
"568","dal",35085,36,14,38.9,1,109
"569","dal",35103,43,12,27.9,0,87
"570","dal",35112,31,11,35.5,0,101
"571","dal",35123,27,8,29.6,0,89
"572","dal",35139,45,16,35.6,0,111
"573","dal",35154,40,12,30,0,91
"574","dal",35163,34,9,26.5,1,100
"575","den",33950,24,8,33.3,1,107
"576","den",33973,23,6,26.1,0,113
"577","den",33982,22,9,40.9,0,102
"578","den",34007,22,6,27.3,1,102
"579","den",34022,25,7,28,0,86
"580","den",34031,23,11,47.8,1,123
"581","den",34042,24,10,41.7,0,107
"582","den",34059,36,13,36.1,0,101
"583","den",34078,25,9,36,0,95
"584","den",34084,29,11,37.9,0,105
"585","den",34106,17,8,47.1,1,120
"586","den",34121,25,4,16,0,111
"587","den",34137,22,8,36.4,1,105
"588","den",34150,22,10,45.4,1,110
"589","den",34161,27,9,33.3,0,83
"590","den",34175,34,12,35.3,0,129
"591","den",34186,29,13,44.8,1,120
"592","den",34213,22,7,31.8,0,98
"593","den",34230,31,9,29,0,110
"594","den",34237,24,13,54.2,0,98
"595","den",34244,27,10,37,1,106
"596","den",34263,37,11,29.7,0,111
"597","den",34272,32,7,21.9,0,85
"598","den",34287,19,8,42.1,1,121
"599","den",34305,25,7,28,0,92
"600","den",34326,31,15,48.4,1,132
"601","den",34344,27,10,37,1,127
"602","den",34357,25,13,52,1,117
"603","den",34366,39,11,28.2,0,102
"604","den",34391,25,8,32,0,108
"605","den",34410,31,11,35.5,1,106
"606","den",34423,28,10,35.7,1,105
"607","den",34440,27,11,40.7,0,122
"608","den",34460,35,9,25.7,0,119
"609","den",34466,38,18,47.4,0,113
"610","den",34483,25,7,28,0,99
"611","den",34495,24,9,37.5,0,106
"612","den",34526,32,15,46.9,1,140
"613","den",34557,27,9,33.3,1,125
"614","den",34566,26,11,42.3,1,127
"615","den",34579,31,10,32.3,0,104
"616","den",34598,24,10,41.7,1,123
"617","den",34604,24,7,29.2,0,108
"618","den",34618,26,10,38.5,1,103
"619","den",34632,23,9,39.1,1,127
"620","den",34649,25,8,32,1,123
"621","den",34669,27,15,55.6,0,116
"622","den",34677,25,9,36,0,99
"623","den",34692,28,9,32.1,1,121
"624","den",34702,26,10,38.5,0,97
